label,raw_count,weighted_count,weighted_frequency,top_buckets,representative_papers
other:sodium deoxycholate,4,2.75,0.0197,1001 (2); 1101 (1); 1111 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Inactivation of Coronaviruses during Sample Preparation for Proteomics Experiments
other:unspecified_detergent,4,2.5,0.0179,0101 (2); 1011 (1); 1101 (1),High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection; Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli; Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:n-Dodecyl-β-D-maltoside,3,2.25,0.0161,1101 (3),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
N-lauroylsarcosine (Sarkosyl),4,2.0,0.0143,0101 (1); 1000 (1); 1100 (1),"Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay; Isolation and Characterization of φkm18p, a Novel Lytic Phage with Therapeutic Potential against Extensively Drug Resistant Acinetobacter baumannii; Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli"
Poloxamer 188,2,1.75,0.0125,1011 (1); 1111 (1),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents
other:TDA-9,2,1.75,0.0125,1011 (1); 1111 (1),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents
CTAB,3,1.5,0.0108,1000 (1); 1001 (1); 1011 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids
other:Sarkosyl,3,1.5,0.0108,1001 (3),Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay
other:n-Dodecyl-β-D-maltoside (DDM),2,1.5,0.0108,1110 (2),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:n-octyl-β-D-glucopyranoside,2,1.5,0.0108,1011 (1); 1101 (1),Endoplasmic Reticulum Detergent-Resistant Membranes Accommodate Hepatitis C Virus Proteins for Viral Assembly
other:Lubrol,2,1.25,0.009,0111 (1); 1100 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:β-octylglucoside,2,1.25,0.009,0111 (1); 1100 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes
deoxycholate,3,1.0,0.0072,0000 (1); 0001 (1); 1011 (1),Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling; Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Oxidative stress transforms 3CLpro into an insoluble and more active form to promote SARS-CoV-2 replication
other:DHPC,1,0.75,0.0054,1101 (1),Purification and Functional Characterization of the φX174 Lysis Protein E
other:Deviron 13S9,1,0.75,0.0054,1011 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:Deviron C16,1,0.75,0.0054,1011 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:EBB,1,0.75,0.0054,1101 (1),Purification and Functional Characterization of the φX174 Lysis Protein E
other:N-lauroylsarcosine,1,0.75,0.0054,1011 (1),Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
other:cholic acid,1,0.75,0.0054,1101 (1),Purification and Functional Characterization of the φX174 Lysis Protein E
other:lauryldimethylamine-oxide (LDAO),1,0.75,0.0054,1101 (1),The holin of bacteriophage lambda forms rings with large diameter
other:n-dodecyl-β-D-maltopyranoside (DDM),1,0.75,0.0054,1101 (1),The holin of bacteriophage lambda forms rings with large diameter
other:n-dodecyl-β-D-maltoside,1,0.75,0.0054,1011 (1),Purification and Functional Characterization of the φX174 Lysis Protein E
other:n-octyl-β-D-glucopyranoside (OG),1,0.75,0.0054,1101 (1),The holin of bacteriophage lambda forms rings with large diameter
other:Deviron 13-S9,1,0.5,0.0036,1001 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:Empigen,1,0.5,0.0036,0101 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:DDM,1,0.25,0.0018,1000 (1),The holin of bacteriophage lambda forms rings with large diameter
other:LDAO,1,0.25,0.0018,1000 (1),The holin of bacteriophage lambda forms rings with large diameter
other:β-OG,1,0.25,0.0018,1000 (1),The holin of bacteriophage lambda forms rings with large diameter
