Title,Year,DOI,PMID,Journal,Abstract,Source,Paper_ID
Method versatility in RNA extraction-free PCR detection of SARS-CoV-2 in saliva samples.,2023,10.1016/j.pbiomolbio.2023.06.004,37369293,Progress in biophysics and molecular biology,"Early in the pandemic, a simple, open-source, RNA extraction-free RT-qPCR protocol for SARS-CoV-2 detection in saliva was developed and made widely available. This simplified approach (SalivaDirect) requires only sample treatment with proteinase K prior to PCR testing. However, feedback from clinical laboratories highlighted a need for a flexible workflow that can be seamlessly integrated into their current health and safety requirements for the receiving and handling of potentially infectious samples. To address these varying needs, we explored additional pre-PCR workflows. We built upon the original SalivaDirect workflow to include an initial incubation step (95 °C for 30 min, 95 °C for 5 min or 65 °C for 15 min) with or without addition of proteinase K. The limit of detection for the workflows tested did not significantly differ from that of the original SalivaDirect workflow. When tested on de-identified saliva samples from confirmed COVID-19 individuals, these workflows also produced comparable virus detection and assay sensitivities, as determined by RT-qPCR analysis. Exclusion of proteinase K did not negatively affect the sensitivity of the assay. The addition of multiple heat pretreatment options to the SalivaDirect protocol increases the accessibility of this cost-effective SARS-CoV-2 test as it gives diagnostic laboratories the flexibility to implement the workflow which best suits their safety protocols.",PubMed,2023_jpbiomolbio
Pooled RNA-extraction-free testing of saliva for the detection of SARS-CoV-2.,2023,10.1038/s41598-023-34662-2,37156888,Scientific reports,"The key to limiting SARS-CoV-2 spread is to identify virus-infected individuals (both symptomatic and asymptomatic) and isolate them from the general population. Hence, routine weekly testing for SARS-CoV-2 in all asymptomatic (capturing both infected and non-infected) individuals is considered critical in situations where a large number of individuals co-congregate such as schools, prisons, aged care facilities and industrial workplaces. Such testing is hampered by operational issues such as cost, test availability, access to healthcare workers and throughput. We developed the SalivaDirect RT-qPCR assay to increase access to SARS-CoV-2 testing via a low-cost, streamlined protocol using self-collected saliva. To expand the single sample testing protocol, we explored multiple extraction-free pooled saliva testing workflows prior to testing with the SalivaDirect RT-qPCR assay. A pool size of five, with or without heat inactivation at 65 °C for 15 min prior to testing resulted in a positive agreement of 98% and 89%, respectively, and an increased Ct value shift of 1.37 and 1.99 as compared to individual testing of the positive clinical saliva specimens. Applying this shift in Ct value to 316 individual, sequentially collected, SARS-CoV-2 positive saliva specimen results reported from six clinical laboratories using the original SalivaDirect assay, 100% of the samples would have been detected (Ct value < 45) had they been tested in the 1:5 pool strategy. The availability of multiple pooled testing workflows for laboratories can increase test turnaround time, permitting results in a more actionable time frame while minimizing testing costs and changes to laboratory operational flow.",PubMed,2023_s41598-023-3
CESSAT: A chemical additive-enhanced single-step accurate CRISPR/Cas13 testing system for field-deployable ultrasensitive detection and genotyping of SARS-CoV-2 variants of concern.,2023,10.1016/j.bios.2023.115238,36958206,Biosensors & bioelectronics,"The continued emergence of SARS-CoV-2 variants of concern (VOCs) has raised great challenges for epidemic prevention and control. A rapid, sensitive, and on-site SARS-CoV-2 genotyping technique is urgently needed for individual diagnosis and routine surveillance. Here, a field-deployable ultrasensitive CRISPR-based diagnostics system, called Chemical additive-Enhanced Single-Step Accurate CRISPR/Cas13 Testing system (CESSAT), for simultaneous screening of SARS-CoV-2 and its five VOCs (Alpha, Beta, Gamma, Delta, and Omicron) within 40 min was reported. In this system, a single-step reverse transcription recombinase polymerase amplification-CRISPR/Cas13a assay was incorporated with optimized extraction-free viral lysis and reagent lyophilization, which could eliminate complicated sample processing steps and rigorous reagent storage conditions. Remarkably, 10% glycine as a chemical additive could improve the assay sensitivity by 10 times, making the limit of detection as low as 1 copy/μL (5 copies/reaction). A compact optic fiber-integrated smartphone-based device was developed for sample lysis, assay incubation, fluorescence imaging, and result interpretation. CESSAT could specifically differentiate the synthetic pseudovirus of SARS-CoV-2 and its five VOCs. The genotyping results for 40 clinical samples were in 100% concordance with standard method. We believe this simple but efficient enhancement strategy can be widely incorporated with existing Cas13a-based assays, thus leading a substantial progress in the development and application of rapid, ultrasensitive, and accurate nucleic acid analysis technology.",PubMed,2023_jbios2023
Improving the efficiency and biosafety of respiratory syncytial virus identification using a nucleic acid extraction-free reagent.,2023,10.1002/jmv.28287,36345579,Journal of medical virology,"Respiratory syncytial virus (RSV) is the most important virus that causes lower respiratory tract disease in children; efficient viral identification is an important component of disease prevention and treatment. Here, we developed and evaluated a ready-to-use (RTU) nucleic acid extraction-free direct reagent for identification of RSV (RTU-Direct test) in clinical samples. The limit of detection (LOD) of the RSV RTU-Direct test was consistent with the LOD of the standard test using extracted nucleic acids. The virus inactivation ability of RTU-Direct reagent was confirmed by viral infectivity assays involving RTU-Direct-treated samples containing RSV and human coronavirus OC43. RSV RNA stability was significantly better in RTU-Direct reagent than in conventional virus transport medium (VTM) at room temperature and 4°C (p < 0.05). The clinical performance of the RTU-Direct test was evaluated using 155 respiratory specimens from patients with suspected RSV infection. Positive agreement between the RTU-Direct test and the VTM standard test was 100% (42/42); negative agreement was 99.1% (112/113), and the kappa statistic was 0.968 (p < 0.001). The distributions of Ct values did not significantly differ between the RTU-Direct test and the standard test (p > 0.05). Overall, the RTU-Direct reagent can improve the efficiency and biosafety of RSV detection, while reducing the cost of detection.",PubMed,2023_jmv28287
"A sample-to-answer, quantitative real-time PCR system with low-cost, gravity-driven microfluidic cartridge for rapid detection of SARS-CoV-2, influenza A/B, and human papillomavirus 16/18.",2022,10.1039/d2lc00434h,35972195,Lab on a chip,"The pandemic of coronavirus disease 2019 (COVID-19), due to the novel coronavirus (SARS-CoV-2), has created an unprecedented threat to the global health system, especially in resource-limited areas. This challenge shines a spotlight on the urgent need for a point-of-care (POC) quantitative real-time PCR (qPCR) test for sensitive and rapid diagnosis of viral infections. In a POC system, a closed, single-use, microfluidic cartridge is commonly utilized for integration of nucleic acid preparation, PCR amplification and florescence detection. But, most current cartridge systems often involve complicated nucleic acid extraction ",PubMed,2022_d2lc00434h
Rapid detection of SARS-CoV-2 RNA in saliva via Cas13.,2022,10.1038/s41551-022-00917-y,35953650,Nature biomedical engineering,"Rapid nucleic acid testing is central to infectious disease surveillance. Here, we report an assay for rapid COVID-19 testing and its implementation in a prototype microfluidic device. The assay, which we named DISCoVER (for diagnostics with coronavirus enzymatic reporting), involves extraction-free sample lysis via shelf-stable and low-cost reagents, multiplexed isothermal RNA amplification followed by T7 transcription, and Cas13-mediated cleavage of a quenched fluorophore. The device consists of a single-use gravity-driven microfluidic cartridge inserted into a compact instrument for automated running of the assay and readout of fluorescence within 60 min. DISCoVER can detect severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in saliva with a sensitivity of 40 copies μl",PubMed,2022_s41551-022-0
Simplified Cas13-based assays for the fast identification of SARS-CoV-2 and its variants.,2022,10.1038/s41551-022-00889-z,35637389,Nature biomedical engineering,"The widespread transmission and evolution of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) call for rapid nucleic acid diagnostics that are easy to use outside of centralized clinical laboratories. Here we report the development and performance benchmarking of Cas13-based nucleic acid assays leveraging lyophilised reagents and fast sample inactivation at ambient temperature. The assays, which we named SHINEv.2 (for 'streamlined highlighting of infections to navigate epidemics, version 2'), simplify the previously reported RNA-extraction-free SHINEv.1 technology by eliminating heating steps and the need for cold storage of the reagents. SHINEv.2 detected SARS-CoV-2 in nasopharyngeal samples with 90.5% sensitivity and 100% specificity (benchmarked against the reverse transcription quantitative polymerase chain reaction) in less than 90 min, using lateral-flow technology and incubation in a heat block at 37 °C. SHINEv.2 also allows for the visual discrimination of the Alpha, Beta, Gamma, Delta and Omicron SARS-CoV-2 variants, and can be run without performance losses by using body heat. Accurate, easy-to-use and equipment-free nucleic acid assays could facilitate wider testing for SARS-CoV-2 and other pathogens in point-of-care and at-home settings.",PubMed,2022_s41551-022-0
Development and implementation of a simple and rapid extraction-free saliva SARS-CoV-2 RT-LAMP workflow for workplace surveillance.,2022,10.1371/journal.pone.0268692,35617204,PloS one,"Effective management of the COVID-19 pandemic requires widespread and frequent testing of the population for SARS-CoV-2 infection. Saliva has emerged as an attractive alternative to nasopharyngeal samples for surveillance testing as it does not require specialized personnel or materials for its collection and can be easily provided by the patient. We have developed a simple, fast, and sensitive saliva-based testing workflow that requires minimal sample treatment and equipment. After sample inactivation, RNA is quickly released and stabilized in an optimized buffer, followed by reverse transcription loop-mediated isothermal amplification (RT-LAMP) and detection of positive samples using a colorimetric and/or fluorescent readout. The workflow was optimized using 1,670 negative samples collected from 172 different individuals over the course of 6 months. Each sample was spiked with 50 copies/μL of inactivated SARS-CoV-2 virus to monitor the efficiency of viral detection. Using pre-defined clinical samples, the test was determined to be 100% specific and 97% sensitive, with a limit of detection of 39 copies/mL. The method was successfully implemented in a CLIA laboratory setting for workplace surveillance and reporting. From April 2021-February 2022, more than 30,000 self-collected samples from 755 individuals were tested and 85 employees tested positive mainly during December and January, consistent with high infection rates in Massachusetts and nationwide.",PubMed,2022_journalpone
A point-of-care SARS-CoV-2 test based on reverse transcription loop-mediated isothermal amplification without RNA extraction with diagnostic performance same as RT-PCR.,2022,10.1016/j.aca.2022.339590,35256137,Analytica chimica acta,"The global public health crisis and economic losses resulting from the current novel coronavirus disease (COVID-19) pandemic have been dire. The most used real-time reverse transcription polymerase chain reaction (RT-PCR) method needs expensive equipment, technical expertise, and a long turnaround time. Therefore, there is a need for a rapid, accurate, and alternative technique of diagnosis that is deployable at resource-poor settings like point-of-care. This study combines heat deactivation and a novel mechanical lysis method by bead beating for quick and simple sample preparation. Then, using an optimized reverse transcription loop-mediated isothermal amplification (RT-LAMP) assay to target genes encoding the open reading frame 8 (ORF8), spike and nucleocapsid proteins of the novel coronavirus, SARS-CoV-2. The test results can be read simultaneously in fluorometric and colorimetric readouts within 40 min from sample collection. We also calibrated a template transfer tool to simplify sample addition into LAMP reactions when pipetting skills are needed. Most importantly, validation of the direct RT-LAMP system based on multiplexing primers S1:ORF8 in a ratio (1:0.8) using 143 patients' nasopharyngeal swab samples showed a diagnostic performance of 99.30% accuracy, with 98.81% sensitivity and 100% selectivity, compared to commercial RT-PCR kits. Since our workflow does not rely on RNA extraction and purification, the time-to-result is two times faster than other workflows with FDA emergency use authorization. Considering all its strengths: speed, simplicity, accuracy and extraction-free, the system can be useful for optimal point-of-care testing of COVID-19.",PubMed,2022_jaca20223
"Sample-to-answer, extraction-free, real-time RT-LAMP test for SARS-CoV-2 in nasopharyngeal, nasal, and saliva samples: Implications and use for surveillance testing.",2022,10.1371/journal.pone.0264130,35213596,PloS one,"The global COVID-19 pandemic has highlighted the need for rapid, accurate and accessible nucleic acid tests to enable timely identification of infected individuals. We optimized a sample-to-answer nucleic acid test for SARS-CoV-2 that provides results in <1 hour using inexpensive and readily available reagents. The test workflow includes a simple lysis and viral inactivation protocol followed by direct isothermal amplification of viral RNA using RT-LAMP. The assay was validated using two different instruments, a portable isothermal fluorimeter and a standard thermocycler. Results of the RT-LAMP assay were compared to traditional RT-qPCR for nasopharyngeal swabs, nasal swabs, and saliva collected from a cohort of patients hospitalized due to COVID-19. For all three sample types, positive agreement with RT-LAMP performed using the isothermal fluorimeter was 100% for samples with Ct <30 and 69-91% for samples with Ct <40. Following validation, the test was successfully scaled to test the saliva of up to 400 asymptomatic individuals per day as part of the campus surveillance program at Rice University. Successful development, validation, and scaling of this sample-to-answer, extraction-free real-time RT-LAMP test for SARS-CoV-2 adds a highly adaptable tool to efforts to control the COVID-19 pandemic, and can inform test development strategies for future infectious disease threats.",PubMed,2022_journalpone
Improving the efficiency and effectiveness of an industrial SARS-CoV-2 diagnostic facility.,2022,10.1038/s41598-022-06873-6,35210470,Scientific reports,"On 11th March 2020, the UK government announced plans for the scaling of COVID-19 testing, and on 27th March 2020 it was announced that a new alliance of private sector and academic collaborative laboratories were being created to generate the testing capacity required. The Cambridge COVID-19 Testing Centre (CCTC) was established during April 2020 through collaboration between AstraZeneca, GlaxoSmithKline, and the University of Cambridge, with Charles River Laboratories joining the collaboration at the end of July 2020. The CCTC lab operation focussed on the optimised use of automation, introduction of novel technologies and process modelling to enable a testing capacity of 22,000 tests per day. Here we describe the optimisation of the laboratory process through the continued exploitation of internal performance metrics, while introducing new technologies including the Heat Inactivation of clinical samples upon receipt into the laboratory and a Direct to PCR protocol that removed the requirement for the RNA extraction step. We anticipate that these methods will have value in driving continued efficiency and effectiveness within all large scale viral diagnostic testing laboratories.",PubMed,2022_s41598-022-0
Heat inactivation of clinical COVID-19 samples on an industrial scale for low risk and efficient high-throughput qRT-PCR diagnostic testing.,2022,10.1038/s41598-022-06888-z,35190592,Scientific reports,"We report the development of a large scale process for heat inactivation of clinical COVID-19 samples prior to laboratory processing for detection of SARS-CoV-2 by RT-qPCR. With more than 266 million confirmed cases, over 5.26 million deaths already recorded at the time of writing, COVID-19 continues to spread in many parts of the world. Consequently, mass testing for SARS-CoV-2 will remain at the forefront of the COVID-19 response and prevention for the near future. Due to biosafety considerations the standard testing process requires a significant amount of manual handling of patient samples within calibrated microbiological safety cabinets. This makes the process expensive, effects operator ergonomics and restricts testing to higher containment level laboratories. We have successfully modified the process by using industrial catering ovens for bulk heat inactivation of oropharyngeal/nasopharyngeal swab samples within their secondary containment packaging before processing in the lab to enable all subsequent activities to be performed in the open laboratory. As part of a validation process, we tested greater than 1200 clinical COVID-19 samples and showed less than 1 Cq loss in RT-qPCR test sensitivity. We also demonstrate the bulk heat inactivation protocol inactivates a murine surrogate of human SARS-CoV-2. Using bulk heat inactivation, the assay is no longer reliant on containment level 2 facilities and practices, which reduces cost, improves operator safety and ergonomics and makes the process scalable. In addition, heating as the sole method of virus inactivation is ideally suited to streamlined and more rapid workflows such as 'direct to PCR' assays that do not involve RNA extraction or chemical neutralisation methods.",PubMed,2022_s41598-022-0
