Title,Year,DOI,PMID,Journal,Abstract,Source
Isolation and characterization of a Vibrio owensii phage phi50-12.,2022,10.1038/s41598-022-20831-2,36180722,Scientific reports,"Vibrio owensii is a widely distributed marine vibrio species that causes acute hepatopancreatic necrosis in the larvae of Panulirus ornatus and Penaeus vannamei, and is also associated with Montipora white syndrome in corals. We characterized V. owensii GRA50-12 as a potent pathogen using phenotypic, biochemical, and zebrafish models. A virulent phage, vB_VowP_phi50-12 (phi50-12), belonging to the N4-like Podoviridae, was isolated from the same habitat as that of V. owensii GRA50-12 and characterized. This phage possesses a unique sequence with no similar hits in the public databases and has a short latent time (30 min), a large burst size (106 PFU/infected cell), and a wide range of pH and temperature stabilities. Moreover, phi50-12 also demonstrated a strong lysis ability against V. owensii GRA50-12. SDS-PAGE revealed at least nine structural proteins, four of which were confirmed using LC-MS/MS analysis. The size of the phi50-12 genome was 68,059 bp, with 38.5% G + C content. A total of 101 ORFs were annotated, with 17 ORFs having closely related counterparts in the N4-like vibrio phage. Genomic sequencing confirmed the absence of antibiotic resistance genes or virulence factors. Comparative studies have shown that phi50-12 has a unique genomic arrangement, except for the well-conserved core regions of the N4-like phages. Phylogenetic analysis demonstrated that it belonged to a group of smaller genomes of N4-like vibrio phages. The therapeutic effect in the zebrafish model suggests that phi50-12 could be a potential candidate for application in the treatment of V. owensii infection or as a biocontrol agent. However, further research must be carried out to confirm the efficacy of phage50-12.",PubMed
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids.,2022,10.1186/s13007-022-00860-8,35321738,Plant methods,"Plant DNA isolation and purification is a time-consuming and laborious process relative to epithelial and viral DNA sample preparation due to the cell wall. The lysis of plant cells to free intracellular DNA normally requires high temperatures, chemical surfactants, and mechanical separation of plant tissue prior to a DNA purification step. Traditional DNA purification methods also do not aid themselves towards fieldwork due to the numerous chemical and bulky equipment requirements.",PubMed
Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli.,2022,10.1186/s12934-022-01766-9,35292023,Microbial cell factories,"Endolysins are peptidoglycan hydrolases with promising use as environment-friendly antibacterials mainly when used topically. However, in general, endolysin expression is hampered by its low solubility. Thus, a critical point in endolysin industrial production is optimizing their expression, including improvement of solubility and recovery from cell extracts.",PubMed
Oxidative stress transforms 3CLpro into an insoluble and more active form to promote SARS-CoV-2 replication.,2021,10.1016/j.redox.2021.102199,34847508,Redox biology,"3CLpro is a key proteinase for SARS-CoV-2 replication and serves as an important target for antiviral drug development. However, how its activity is regulated intracellularly is still obscure. In this study, we developed a 3CLpro protease activity reporter system to examine the impact of various factors, including nutrient supplements, ions, pHs, or oxidative stress inducers, on 3CLpro protease activity. We found that oxidative stress could increase the overall activity of 3CLpro. Not altering the expression, oxidative stress decreased the solubility of 3CLpro in the lysis buffer containing 1% Triton-X-100. The Triton-X-100-insoluble 3CLpro was correlated with aggregates' formation and responsible for the increased enzymatic activity. The disulfide bonds formed between Cys85 sites of 3CLpro protomers account for the insolubility and the aggregation of 3CLpro. Besides being regulated by oxidative stress, 3CLpro impaired the cellular antioxidant capacity by regulating the cleavage of GPx1 at its N-terminus. This cleavage could further elevate the 3CLpro-proximate oxidative activity, favor aggregation and activation of 3CLpro, and thus lead to a positive feedback loop. In summary, we reported that oxidative stress transforms 3CLpro into a detergent-insoluble form that is more enzymatically active, leading to increased viral replication/transcription. Our study provided mechanistic evidence that suggests the therapeutic potential of antioxidants in the clinical treatment of COVID-19 patients.",PubMed
Evaluation of the SARS-CoV-2 Inactivation Efficacy Associated With Buffers From Three Kits Used on High-Throughput RNA Extraction Platforms.,2021,10.3389/fcimb.2021.716436,34604108,Frontiers in cellular and infection microbiology,"Rapid and demonstrable inactivation of SARS-CoV-2 is crucial to ensure operator safety during high-throughput testing of clinical samples. The inactivation efficacy of SARS-CoV-2 was evaluated using commercially available lysis buffers from three viral RNA extraction kits used on two high-throughput (96-well) RNA extraction platforms (Qiagen QIAcube HT and the Thermo Fisher KingFisher Flex) in combination with thermal treatment. Buffer volumes and sample ratios were chosen for their optimised suitability for RNA extraction rather than inactivation efficacy and tested against a representative sample type: SARS-CoV-2 spiked into viral transport medium (VTM). A lysis buffer mix from the MagMAX Pathogen RNA/DNA kit (Thermo Fisher), used on the KingFisher Flex, which included guanidinium isothiocyanate (GITC), a detergent, and isopropanol, demonstrated a minimum inactivation efficacy of 1 × 10",PubMed
Virulent ,2021,10.3389/fmicb.2021.706700,34504479,Frontiers in microbiology,"Phage-host interactions are likely to have the most critical aspect of phage biology. Phages are the most abundant and ubiquitous infectious acellular entities in the biosphere, where their presence remains elusive. Here, the novel ",PubMed
Inactivation of Coronaviruses during Sample Preparation for Proteomics Experiments.,2021,10.1021/acs.jproteome.1c00320,34432478,Journal of proteome research,"Mass spectrometry-based proteomics is applied in SARS-CoV-2 research and is, moreover, being discussed as a novel method for SARS-CoV-2 diagnostics. However, the safe inactivation of coronaviruses by proteomics lysis buffers has not been systematically analyzed yet. Hence, for safety reasons a heating step prior to sample preparation is often performed. This step could be omitted once the safe inactivation with the typical buffers is proven. Here we test five different proteomics lysis buffers-4% SDS, 1% SDC, TFA, 6 M GdmCl, and 8 M urea-for their inactivation capacity of coronaviruses. Two representative human coronaviruses, namely HCoV-229E and HCoV-OC43, were used as surrogate for SARS-CoV-2. Lysis was performed at room temperature and at 95 °C for 5 min. Inactivation was confirmed by the absence of a cytopathic effect in MRC-5 cells, and equivocal results were further confirmed by serial passaging and quantitative real-time PCR. While at room temperature SDS, SDC, and TFA inactivated both coronaviruses, and GdmCl and urea resulted in partially incomplete inactivation. This demonstrates that care should be taken when choosing lysis buffers for proteomics analysis of coronaviruses, because some buffers do not ensure inactivation and, hence, biosafety during the further sample preparation.",PubMed
Direct RT-PCR amplification of SARS-CoV-2 from clinical samples using a concentrated viral lysis-amplification buffer prepared with IGEPAL-630.,2021,10.1038/s41598-021-93333-2,34244543,Scientific reports,"The pandemic of 2019 caused by the novel coronavirus (SARS-CoV-2) is still rapidly spreading worldwide. Nucleic acid amplification serves as the gold standard method for confirmation of COVID-19 infection. However, challenges faced for diagnostic laboratories from undeveloped countries includes shortage of kits and supplies to purify viral RNA. Therefore, it is urgent to validate alternative nucleic acid isolation methods for SARS-CoV-2. Our results demonstrate that a concentrated viral lysis amplification buffer (vLAB) prepared with the nonionic detergent IGEPAL enables qualitative detection of SARS-CoV-2 by direct Reverse Transcriptase-Polymerase Chain Reaction (dRT-PCR). Furthermore, vLAB was effective in inactivating SARS-CoV-2. Since this method is inexpensive and no RNA purification equipment or additional cDNA synthesis is required, this dRT-PCR with vLAB should be considered as an alternative method for qualitative detection of SARS-CoV-2.",PubMed
Versatile and flexible microfluidic qPCR test for high-throughput SARS-CoV-2 and cellular response detection in nasopharyngeal swab samples.,2021,10.1371/journal.pone.0243333,33852580,PloS one,"The emergence and quick spread of SARS-CoV-2 has pointed at a low capacity response for testing large populations in many countries, in line of material, technical and staff limitations. The traditional RT-qPCR diagnostic test remains the reference method and is by far the most widely used test. These assays are limited to a few probe sets, require large sample PCR reaction volumes, along with an expensive and time-consuming RNA extraction step. Here we describe a quantitative nanofluidic assay that overcomes some of these shortcomings, based on the BiomarkTM instrument from Fluidigm. This system offers the possibility of performing 4608 qPCR end-points in a single run, equivalent to 192 clinical samples combined with 12 pairs of primers/probe sets in duplicate, thus allowing the monitoring of SARS-CoV-2 including the detection of specific SARS-CoV-2 variants, as well as the detection other pathogens and/or host cellular responses (virus receptors, response markers, microRNAs). The 10 nL-range volume of BiomarkTM reactions is compatible with sensitive and reproducible reactions that can be easily and cost-effectively adapted to various RT-qPCR configurations and sets of primers/probe. Finally, we also evaluated the use of inactivating lysis buffers composed of various detergents in the presence or absence of proteinase K to assess the compatibility of these buffers with a direct reverse transcription enzymatic step and we propose several protocols, bypassing the need for RNA purification. We advocate that the combined utilization of an optimized processing buffer and a high-throughput real-time PCR device would contribute to improve the turn-around-time to deliver the test results to patients and increase the SARS-CoV-2 testing capacities.",PubMed
An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens.,2021,10.1016/j.jviromet.2021.114062,33428990,Journal of virological methods,Diagnostic real time reverse transcription PCR (rRT-PCR) is usually done using nucleic acid (NA) purified from the sample. In the SARS-CoV-2 pandemic reagents and utensils for NA purification has been in short supply. This has generated interest in methods that eliminate the need for NA purification.,PubMed
"Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives.",2020,10.1128/JCM.01713-20,32839250,Journal of clinical microbiology,"The COVID-19 pandemic has necessitated a multifaceted rapid response by the scientific community, bringing researchers, health officials, and industry together to address the ongoing public health emergency. To meet this challenge, participants need an informed approach for working safely with the etiological agent, the novel human coronavirus SARS-CoV-2. Work with infectious SARS-CoV-2 is currently restricted to high-containment laboratories, but material can be handled at a lower containment level after inactivation. Given the wide array of inactivation reagents that are being used in laboratories during this pandemic, it is vital that their effectiveness is thoroughly investigated. Here, we evaluated a total of 23 commercial reagents designed for clinical sample transportation, nucleic acid extraction, and virus inactivation for their ability to inactivate SARS-CoV-2, as well as seven other common chemicals, including detergents and fixatives. As part of this study, we have also tested five filtration matrices for their effectiveness at removing the cytotoxic elements of each reagent, permitting accurate determination of levels of infectious virus remaining following treatment. In addition to providing critical data informing inactivation methods and risk assessments for diagnostic and research laboratories working with SARS-CoV-2, these data provide a framework for other laboratories to validate their inactivation processes and to guide similar studies for other pathogens.",PubMed
Evaluation of Chemical Protocols for Inactivating SARS-CoV-2 Infectious Samples.,2020,10.3390/v12060624,32521706,Viruses,"Clinical samples collected in coronavirus disease 19 (COVID-19), patients are commonly manipulated in biosafety level 2 laboratories for molecular diagnostic purposes. Here, we tested French norm NF-EN-14476+A2 derived from European standard EN-14885 to assess the risk of manipulating infectious viruses prior to RNA extraction. SARS-CoV-2 cell-culture supernatant and nasopharyngeal samples (virus-spiked samples and clinical samples collected in COVID-19 patients) were used to measure the reduction of infectivity after 10 minute contact with lysis buffer containing various detergents and chaotropic agents. A total of thirteen protocols were evaluated. Two commercially available formulations showed the ability to reduce infectivity by at least 6 log 10, whereas others proved less effective.",PubMed
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease.,2020,10.1002/bit.27444,32462658,Biotechnology and bioengineering,"We report improved release of recombinant proteins in Escherichia coli, which relies on combined cellular autolysis and DNA/RNA autohydrolysis, conferred by the tightly controlled autoinduction of both phage lysozyme and the nonspecific DNA/RNA endonuclease from Serratia marcescens. Autoinduction occurs in a two-stage process wherein heterologous protein expression and autolysis enzymes are induced upon entry into stationary phase by phosphate depletion. Cytoplasmic lysozyme and periplasmic endonuclease are kept from inducing lysis until membrane integrity is disrupted. After cell harvest, the addition of detergent (0.1% Triton X-100) and a single 30 min freeze-thaw cycle results in >90% release of protein, green fluorescent protein. This cellular lysis is accompanied by complete oligonucleotide hydrolysis. The approach has been validated for shake flask cultures, high-throughput cultivation in microtiter plates, and larger scale stirred-tank bioreactors. This tightly controlled system enables robust growth and resistance to lysis in routine media when cells are propagated and autolysis/hydrolysis genes are only induced upon phosphate depletion.",PubMed
Biological characteristics and whole-genome analysis of the ,2020,10.1139/cjm-2019-0336,32374181,Canadian journal of microbiology,,PubMed
"Rapid, Sample-to-Answer Host Gene Expression Test to Diagnose Viral Infection.",2019,10.1093/ofid/ofz466,34150923,Open forum infectious diseases,"Distinguishing bacterial, viral, or other etiologies of acute illness is diagnostically challenging with significant implications for appropriate antimicrobial use. Host gene expression offers a promising approach, although no clinically useful test has been developed yet to accomplish this. Here, Qvella's FAST HR (Richmond Hill, Ontario, Canada) process was developed to quantify previously identified host gene expression signatures in whole blood in <45 minutes.",PubMed
Endoplasmic Reticulum Detergent-Resistant Membranes Accommodate Hepatitis C Virus Proteins for Viral Assembly.,2019,10.3390/cells8050487,31121874,Cells,"During Hepatitis C virus (HCV) morphogenesis, the non-structural protein 2 (NS2) brings the envelope proteins 1 and 2 (E1, E2), NS3, and NS5A together to form a complex at the endoplasmic reticulum (ER) membrane, initiating HCV assembly. The nature of the interactions in this complex is unclear, but replication complex and structural proteins have been shown to be associated with cellular membrane structures called detergent-resistant membranes (DRMs). We investigated the role of DRMs in NS2 complex formation, using a lysis buffer combining Triton and n-octyl glucoside, which solubilized both cell membranes and DRMs. When this lysis buffer was used on HCV-infected cells and the resulting lysates were subjected to flotation gradient centrifugation, all viral proteins and DRM-resident proteins were found in soluble protein fractions. Immunoprecipitation assays demonstrated direct protein-protein interactions between NS2 and E2 and E1 proteins, and an association of NS2 with NS3 through DRMs. The well-folded E1E2 complex and NS5A were not associated, instead interacting separately with the NS2-E1-E2-NS3 complex through less stable DRMs. Core was also associated with NS2 and the E1E2 complex through these unstable DRMs. We suggest that DRMs carrying this NS2-E1-E2-NS3-4A-NS5A-core complex may play a central role in HCV assembly initiation, potentially as an assembly platform.",PubMed
Micropatterned Viral Membrane Clusters for Antiviral Drug Evaluation.,2019,10.1021/acsami.9b01724,30855935,ACS applied materials & interfaces,"The function of biological nanoparticles, such as membrane-enveloped viral particles, is often enhanced when the particles form higher-order supramolecular assemblies. While there is intense interest in developing biomimetic platforms that recapitulate these collective properties, existing platforms are limited to mimicking individual virus particles. Here, we present a micropatterning strategy to print linker molecules selectively onto bioinert surfaces, thereby enabling controlled tethering of biomimetic viral particle clusters across defined geometric patterns. By controlling the linker concentration, it is possible to tune the density of tethered particles within clusters while enhancing the signal intensity of encapsulated fluorescent markers. Time-resolved tracking of pore formation and membrane lysis revealed that an antiviral peptide can disturb clusters of the membrane-enclosed particles akin to the targeting of individual viral particles. This platform is broadly useful for evaluating the performance of membrane-active antiviral drug candidates, whereas the micropatterning strategy can be applied to a wide range of biological nanoparticles and other macromolecular entities.",PubMed
Clinical-Grade Oncolytic Adenovirus Purification Using Polysorbate 20 as an Alternative for Cell Lysis.,2018,10.2174/1566523218666181109141257,30411681,Current gene therapy,"Oncolytic virus therapy is currently considered as a promising therapeutic approach for cancer treatment. Adenovirus is well-known and extensively characterized as an oncolytic agent. The increasing number of clinical trials using this virus generates the demand for the development of a well-established purification approach. Triton X-100 is commonly used in cell lysis buffer preparations. The addition of this surfactant in the list of substances with the very high concern of the Registration, Evaluation, Authorization and Restriction of Chemicals (REACH) regulation promoted the research for effective alternatives.",PubMed
Novel dendritic structure of alginate hybrid nanoparticles for effective anti-viral drug delivery.,2017,10.1016/j.ijbiomac.2017.05.094,28559185,International journal of biological macromolecules,"Lipid-polymer hybrid nanoparticles have recently gathered much attention as nanoplatforms for drug delivery applications due to their unique structural properties. In this study zidovudine (AZT) loaded hybrid nanoparticles of alginate (ALG) and stearic acid- poly ethylene glycol (SA-PEG) were synthesized. The structural characterization of drug loaded hybrid nanoparticles were studied using FT-IR spectroscopy, DLS and TEM analysis. These hybrid nanoparticles showed dendritic morphology and it can be used as an efficient carrier for zidovudine. In this drug loaded hybrid system of Alginate -Stearicacid/Poly (ethyleneglycol) Nanoparticles (ASNPs), AZT and alginate form the core wherein SA-PEG forms the external shell. We observed a dendritic morphology with internal voids and channels formed by the core molecule and the external shell forms the closed pack surface groups. The optimized formulation achieved a sub micron size of 407.67±19.18nm with drug encapsulation of 83.18±1.22%, and surface potential of -42.53mV, and has significant stability for six months. Haemolysis and aggregation studies revealed that there were no lysis and aggregation in WBC, RBC and platelets. In-vitro cytotoxicity and cellular uptake of the nanoparticles in Glioma, Neuro2a and Hela cells showed that ASNPs are non toxic. The results indicate that the synthesized hybrid nanoparticles represent a potential carrier for zidovudine, thus possibly increasing zidovudine's efficiency as an anti-HIV drug.",PubMed
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage ϕX174 in Escherichia coli.,2017,10.1186/s12934-017-0685-x,28446197,Microbial cell factories,"Recombinant expression of toxic proteins remains a challenging problem. One potential method to shield toxicity and thus improve expression of these proteins is to encapsulate them within protein compartments to sequester them away from their targets. Many bacteria naturally produce so-called bacterial microcompartments (BMCs) in which enzymes comprising a biosynthetic pathway are encapsulated in a proteinaeous shell, which is in part thought to shield the cells from the toxicity of reaction intermediates. As a proof-of-concept, we attempted to encapsulate toxic, lysis protein E (E) from bacteriophage ϕX174 inside recombinant BMCs to enhance its expression and achieve higher yields during downstream purification.",PubMed
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E.,2017,10.1007/s00253-017-8281-x,28429059,Applied microbiology and biotechnology,"Production of recombinant proteins as inclusion bodies is an important strategy in the production of technical enzymes and biopharmaceutical products. So far, protein from inclusion bodies has been recovered from the cell factory through mechanical or chemical disruption methods, requiring additional cost-intensive unit operations. We describe a novel method that is using a bacteriophage-derived lysis protein to directly recover inclusion body protein from Escherichia coli from high cell density fermentation process: The recombinant inclusion body product is expressed by using a mixed feed fed-batch process which allows expression tuning via adjusting the specific uptake rate of the inducing substrate. Then, bacteriophage ΦX174-derived lysis protein E is expressed to induce cell lysis. Inclusion bodies in empty cell envelopes are harvested via centrifugation of the fermentation broth. A subsequent solubilization step reveals the recombinant protein. The process was investigated by analyzing the impact of fermentation conditions on protein E-mediated cell lysis as well as cell lysis kinetics. Optimal cell lysis efficiencies of 99% were obtained with inclusion body titers of >2.0 g/l at specific growth rates higher 0.12 h",PubMed
