Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatibility,Detergents_used_for_lysis,Detergent_products_unresolved_for_lysis,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Methods,Detergents_used,Capture_or_enrichment_or_purification_methods,Evidence,Provenance
Inactivation of various variant types of SARS‑CoV‑2 by indoor‑light‑sensitive TiO2‑based photocatalyst,False,False,False,['RT-PCR/RT-qPCR'],[],[],,,91b545f747,a4770bcd8c,,,000,0.0,[],[],[],,
Inactivation of various variant types of SARS‑CoV‑2 by indoor‑light‑sensitive TiO2‑based photocatalyst,False,True,False,[],[],[],,,91b545f747,8a02b148cf,,,010,0.5,[],[],[],,
Inactivation of various variant types of SARS‑CoV‑2 by indoor‑light‑sensitive TiO2‑based photocatalyst,True,True,False,[],[],[],,,91b545f747,3bce401747,,,110,0.9,[],[],[],,
Inactivation of various variant types of SARS‑CoV‑2 by indoor‑light‑sensitive TiO2‑based photocatalyst,False,False,False,['RT-PCR/RT-qPCR'],['SDS'],"['EzApply (ATTO, Japan)', 'QIAamp Viral RNA Mini Kit (QIAGEN, Hilden, Germany)']",,,91b545f747,baf1422164,,,000,0.0,[],['SDS'],[],,
Salt and surfactant coated filters with antiviral properties and low pressure drop for prospective SARS-CoV2 applications,False,True,False,[],[],[],,,370b560f77,9c6fb05fc3,,,010,0.5,[],[],[],,
Salt and surfactant coated filters with antiviral properties and low pressure drop for prospective SARS‑CoV2 applications,False,True,False,[],[],[],,,370b560f77,57ada24216,,,010,0.5,[],[],[],,
Salt and surfactant coated filters with antiviral properties and low pressure drop for prospective SARS‑CoV2 applications,False,False,False,[],[],[],,,370b560f77,cb01ec309b,,,000,0.0,[],[],[],,
Isolation and characterization of a Vibrio owensii phage phi50-12,False,False,False,[],['SDS'],[],,,dbf05e5625,f4740bc6fa,,,000,0.0,[],['SDS'],[],,
Isolation and characterization of a Vibrio owensii phage phi50-12,False,False,False,[],[],[],,,dbf05e5625,151d71fff9,,,000,0.0,[],[],[],,
Evaluation of pediatric patients with suspected polyethylene glycol and polysorbate allergy before mRNA SARS-CoV2 vaccination,False,True,False,[],[],[],,,0c6071e1ba,2a4113ee7f,,,010,0.5,[],[],[],,
Antiviral Functionalization of a Polypropylene Nonwoven as Self Decontaminating Layer for Respiratory Masks,False,True,False,[],[],['Erkantol®'],,,eca4b1fe69,f2d99d5173,,,010,0.5,[],[],[],,
Antiviral functionalization of a polypropylene nonwoven textile structure as a self-decontaminating layer for respiratory masks,False,True,False,[],[],[],,,eca4b1fe69,f1cd7ea8b4,,,010,0.5,[],[],[],,
Quillaja brasiliensis nanoparticle adjuvant formulation improves the efficacy of an inactivated trivalent influenza vaccine in mice,False,False,False,[],[],[],,,c5072cd1fe,caa7a6092e,,,000,0.0,[],[],[],,
Quillaja brasiliensis nanoparticle adjuvant formulation improves the efficacy of an inactivated trivalent influenza vaccine in mice,False,False,False,[],[],[],,,c5072cd1fe,caa7a6092e,,,000,0.0,[],[],[],,
Quillaja brasiliensis nanoparticle adjuvant formulation improves the efficacy of an inactivated trivalent influenza vaccine in mice,False,False,False,[],[],[],,,c5072cd1fe,caa7a6092e,,,000,0.0,[],[],[],,
Inactivated vaccine with glycyrrhizic acid adjuvant elicits potent innate and adaptive immune responses against foot-and-mouth disease,False,False,False,[],[],[],,,d30be09364,34514886b8,,,000,0.0,[],[],[],,"Pages 3–6 (Materials and methods): virus purification/inactivation, PEG/NaCl precipitation, sucrose-gradient centrifugation; cell isolation/washes; ELISA/ELISpot/VN tests; RNA isolation mentioned but no detergent-based lysis described on these pages."
Inactivated vaccine with glycyrrhizic acid adjuvant elicits potent innate and adaptive immune responses against foot-and-mouth disease,False,False,False,['RT-PCR/RT-qPCR'],[],['TRIzol'],,,d30be09364,1a0d764128,,,000,0.0,[],[],[],,"Page 5, section 2.11 'RNA isolation, cDNA synthesis, and quantitative real-time PCR (qRT-PCR)': RNA extracted using RNeasy Mini Kit or TRIzol reagent; cDNA used for qRT-PCR."
Inactivated vaccine with glycyrrhizic acid adjuvant elicits potent innate and adaptive immune responses against foot-and-mouth disease,False,False,False,[],[],[],,,d30be09364,052a74c972,,,000,0.0,[],[],[],,
Inactivated vaccine with glycyrrhizic acid adjuvant elicits potent innate and adaptive immune responses against foot-and-mouth disease,False,False,False,[],[],[],,,d30be09364,052a74c972,,,000,0.0,[],[],[],,
Incubation Temperature and Period During Denarase Treatment and Microfiltration Affect the Yield of Recombinant Adenoviral Vectors During Downstream Processing,True,False,False,['PCR/qPCR'],[],[],,,e3c4f612ce,c9a0f993cd,,,100,0.3,[],[],[],,
Incubation Temperature and Period During Denarase Treatment and Microfiltration Affect the Yield of Recombinant Adenoviral Vectors During Downstream Processing,True,False,False,['PCR/qPCR'],['Tween 20'],[],,,e3c4f612ce,052c201ab4,,,100,0.3,[],['Tween 20'],[],,
Incubation Temperature and Period During Denarase Treatment and Microfiltration Affect the Yield of Recombinant Adenoviral Vectors During Downstream Processing,True,False,False,[],['Tween 20'],[],,,e3c4f612ce,e56f1f3067,,,100,0.3,[],['Tween 20'],[],,
Incubation Temperature and Period During Denarase Treatment and Microfiltration Affect the Yield of Recombinant Adenoviral Vectors During Downstream Processing,True,False,False,[],[],[],,,e3c4f612ce,93641ee0be,,,100,0.3,[],[],[],,
Selective extraction of recombinant membrane proteins from Hansenula polymorpha by pulsed electric field and lytic enzyme pretreatment,False,False,False,[],"['Triton X-100', 'Tween 20']",[],,,85a4633b28,921bd5c4d1,,,000,0.0,[],"['Triton X-100', 'Tween 20']",[],,
Selective extraction of recombinant membrane proteins from Hansenula polymorpha by pulsed electric field and lytic enzyme pretreatment,False,False,False,[],['Tween 20'],[],,,85a4633b28,8e95c5b029,,,000,0.0,[],['Tween 20'],[],,
Selective extraction of recombinant membrane proteins from Hansenula polymorpha by pulsed electric field and lytic enzyme pretreatment,False,False,False,[],['Triton X-100'],[],,,85a4633b28,9e8e10ee72,,,000,0.0,[],['Triton X-100'],[],,
Selective extraction of recombinant membrane proteins from Hansenula polymorpha by pulsed electric field and lytic enzyme pretreatment,False,False,False,[],['Triton X-100'],[],,,85a4633b28,9e8e10ee72,,,000,0.0,[],['Triton X-100'],[],,
Selective extraction of recombinant membrane proteins from Hansenula polymorpha by pulsed electric field and lytic enzyme pretreatment,False,False,False,[],['Triton X-100'],[],,,85a4633b28,9e8e10ee72,,,000,0.0,[],['Triton X-100'],[],,
Selective extraction of recombinant membrane proteins from Hansenula polymorpha by pulsed electric field and lytic enzyme pretreatment,False,False,False,[],['Triton X-100'],[],,,85a4633b28,9e8e10ee72,,,000,0.0,[],['Triton X-100'],[],,
Selective extraction of recombinant membrane proteins from Hansenula polymorpha by pulsed electric field and lytic enzyme pretreatment,False,False,False,[],"['Tween 20', 'Triton X-100']",[],,,85a4633b28,fb46935f15,,,000,0.0,[],"['Tween 20', 'Triton X-100']",[],,
Selective extraction of recombinant membrane proteins from Hansenula polymorpha by pulsed electric field and lytic enzyme pretreatment,False,False,False,[],"['Triton X-100', 'Tween 20']",[],,,85a4633b28,921bd5c4d1,,,000,0.0,[],"['Triton X-100', 'Tween 20']",[],,
Sensitivity and performance of three novel quantitative assays of SARS‑CoV‑2 nucleoprotein in blood,True,True,False,[],[],['10× extraction buffer (Elecsys SARS‑CoV‑2 Antigen assay)'],,,1c33634fba,48da9804b3,,,110,0.9,[],[],[],,
Sensitivity and performance of three novel quantitative assays of SARS‑CoV‑2 nucleoprotein in blood,False,False,False,[],[],[],,,1c33634fba,a12a573188,,,000,0.0,[],[],[],,
"Inhibitory effect of β-escin on Zika virus infection through the interruption of viral binding, replication, and stability",False,True,False,['RT-PCR/RT-qPCR'],[],[],,,cec024fc83,e2376bfca0,,,010,0.5,[],[],[],,
"Inhibitory effect of β-escin on Zika virus infection through the interruption of viral binding, replication, and stability",False,True,False,['RT-PCR/RT-qPCR'],[],"['TRIzol reagent', 'RIPA buffer']",,,cec024fc83,526792f17f,,,010,0.5,[],[],[],,
Frequent brushing of teeth inhibits the dissemination of the SARS-CoV-2: the biochemical mechanism,False,True,False,[],['sodium lauryl sulfate'],[],,,40cbe30ceb,f817988745,,,010,0.5,[],['other:sodium lauryl sulfate'],[],,
Preliminary results on novel adjuvant combinations suggest enhanced immunogenicity of whole inactivated pandemic influenza vaccines,False,False,False,[],[],[],,,3b01088e09,0a86056506,,,000,0.0,[],[],[],,
Preliminary results on novel adjuvant combinations suggest enhanced immunogenicity of whole inactivated pandemic influenza vaccines,False,False,False,[],[],[],,,3b01088e09,0a86056506,,,000,0.0,[],[],[],,
Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay,True,False,False,[],"['SDS', 'Triton X-100']",[],,,8deeccd2e3,4a8157f32a,,,100,0.3,[],"['SDS', 'Triton X-100']",[],,
Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay,False,False,False,[],[],[],,,8deeccd2e3,9a119441c9,,,000,0.0,[],[],[],,
Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay,False,False,False,[],"['N-lauroylsarcosine (Sarkosyl)', 'Triton X-100']",[],,,8deeccd2e3,bc677a27a2,,,000,0.0,[],"['N-lauroylsarcosine (Sarkosyl)', 'Triton X-100']",[],,
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytopenia virus,True,False,False,[],['Triton X-100'],[],,,f2b3a218bb,b7c3203934,,,100,0.3,[],['Triton X-100'],[],,Materials and Methods §2.1 (AAV9-SFTSV Vaccine Design and Preparation): lysis buffer contained '1% Triton-X' and debris removed by centrifugation; incubation at 37°C mentioned (PDF pages 6–7).
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytopenia virus,True,True,False,['PCR/qPCR'],['SDS'],[],,,f2b3a218bb,75161cd73c,,,110,0.9,[],['SDS'],[],,Materials and Methods §2.2 (Quantification of AAV9 by real-time PCR): capsid disassembled in 'Proteinase K Buffer' containing '1% SDS'; real-time PCR used for quantification; heating above 40°C (50°C and 95°C) described (PDF page 7).
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytopenia virus,True,True,False,[],[],['Sample Buffer (Fujifilm Wako Pure Chemical Corporation)'],,,f2b3a218bb,9fcbd3e27b,,,110,0.9,[],[],[],,Materials and Methods §2.3 (Western Blot): cells 'lysed in Sample Buffer (Fujifilm Wako...)' but detergent composition not specified on provided page (PDF page 7).
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytopenia,False,True,False,[],['Triton X-100'],[],,,f2b3a218bb,d901ed6d3a,,,010,0.5,[],['Triton X-100'],[],,
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytopenia,False,False,False,"['PCR/qPCR', 'RT-PCR/RT-qPCR']",[],"['magLEAD6gC', 'RNeasy Mini Kit']",,,f2b3a218bb,fe22c4c1ff,,,000,0.0,[],[],[],,
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytope,True,False,False,[],[],[],,,f2b3a218bb,056367b7e5,,,100,0.3,[],[],[],,
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytopenia syndrome virus,False,False,False,[],[],[],,,f2b3a218bb,65c79c4e28,,,000,0.0,[],[],[],,
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytope,False,False,False,[],[],[],,,f2b3a218bb,1a446e8428,,,000,0.0,[],[],[],,
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytopenia syndrome virus,False,False,False,[],[],[],,,f2b3a218bb,65c79c4e28,,,000,0.0,[],[],[],,
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytopenia syndrome virus,False,False,False,[],[],[],,,f2b3a218bb,65c79c4e28,,,000,0.0,[],[],[],,
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytopenia syndrome virus,False,False,False,[],[],[],,,f2b3a218bb,65c79c4e28,,,000,0.0,[],[],[],,
Potent immunogenicity and neutralization of recombinant adeno-associated virus expressing the glycoprotein of severe fever with thrombocytopenia,False,False,False,[],[],[],,,f2b3a218bb,1ddb460733,,,000,0.0,[],[],[],,
Overcoming donor variability and risks associated with fecal microbiota transplants through bacteriophage-mediated treatments,False,False,False,[],[],[],,,c64e3fe12a,9085d5b6e3,,,000,0.0,[],[],[],,
Overcoming donor variability and risks associated with fecal microbiota transplants through bacteriophage-mediated treatments,False,False,False,[],[],[],,,c64e3fe12a,9085d5b6e3,,,000,0.0,[],[],[],,
Overcoming donor variability and risks associated with fecal microbiota transplants through bacteriophage-mediated treatments,False,False,False,[],['Triton X-100'],[],,,c64e3fe12a,a57ce2805f,,,000,0.0,[],['Triton X-100'],[],,
Overcoming donor variability and risks associated with fecal microbiota transplants through bacteriophage-mediated treatments,False,False,False,[],[],"['Tris lysis buffer (MSD inhibitor pack; composition not specified)', 'DNeasy PowerSoil Pro Kit (Qiagen)', 'Viral RNA Mini Kit (Qiagen)', 'DNeasy Blood and Tissue Kit (Qiagen)']",,,c64e3fe12a,8fa3363eb6,,,000,0.0,[],[],[],,
Overcoming donor variability and risks associated with fecal microbiota transplants through bacteriophage-mediated treatments,False,False,False,[],[],[],,,c64e3fe12a,9085d5b6e3,,,000,0.0,[],[],[],,
Overcoming donor variability and risks associated with fecal microbiota transplants through bacteriophage-mediated treatments,False,False,False,[],[],[],,,c64e3fe12a,9085d5b6e3,,,000,0.0,[],[],[],,
Trivalent recombinant protein vaccine induces cross-neutralization against XBB lineage and JN.1 subvariants: preclinical and phase 1 clinical trials,False,False,False,[],[],[],,,f42ff043a6,91b4755eee,,,000,0.0,[],[],[],,
Trivalent recombinant protein vaccine induces cross-neutralization against XBB lineage and JN.1 subvariants: preclinical and phase 1 clinical trials,False,False,False,['RT-PCR/RT-qPCR'],[],[],,,f42ff043a6,7cacaf3e5f,,,000,0.0,[],[],[],,
Trivalent recombinant protein vaccine induces cross-neutralization against XBB lineage and JN.1 subvariants: preclinical and phase 1 clinical trials,False,True,False,[],[],[],,,f42ff043a6,eddac3eeea,,,010,0.5,[],[],[],,
Trivalent recombinant protein vaccine induces cross-neutralization against XBB lineage and JN.1 subvariants: preclinical and phase 1 clinical trials,False,True,False,[],['Tween 20'],[],,,f42ff043a6,7198ec764e,,,010,0.5,[],['Tween 20'],[],,
Trivalent recombinant protein vaccine induces cross-neutralization against XBB lineage and JN.1 subvariants: preclinical and phase 1 clinical trials,False,True,False,['RT-PCR/RT-qPCR'],[],['Trizol'],,,f42ff043a6,4db44575e0,,,010,0.5,[],[],[],,
Trivalent recombinant protein vaccine induces cross-neutralization against XBB lineage and JN.1 subvariants: preclinical and phase 1 clinical trials,False,False,False,[],[],[],,,89986ed9b2,c3fc48614c,,,000,0.0,[],[],[],,
Trivalent recombinant protein vaccine induces cross-neutralization against XBB lineage and JN.1 subvariants: preclinical and phase 1 clinical trials,False,False,False,[],[],[],,,89986ed9b2,c3fc48614c,,,000,0.0,[],[],[],,
Trivalent recombinant protein vaccine induces cross-neutralization against XBB lineage and JN.1 subvariants: preclinical and phase 1 clinical trials,False,True,False,[],[],[],,,89986ed9b2,a7081bbf86,,,010,0.5,[],[],[],,
Stability study in selected conditions and biofilm-reducing activity of phages active against drug-resistant Acinetobacter baumannii,False,False,False,[],[],[],,,8182758811,f7701764ae,,,000,0.0,[],[],[],,
Stability study in selected conditions and biofilm-reducing activity of phages active against drug-resistant Acinetobacter baumannii,False,False,False,[],[],[],,,8182758811,f7701764ae,,,000,0.0,[],[],[],,
Stability study in selected conditions and biofilm-reducing activity of phages active against drug-resistant Acinetobacter baumannii,False,False,False,[],[],[],,,8182758811,f7701764ae,,,000,0.0,[],[],[],,
P. aeruginosa rhamnolipids stabilize human rhinovirus 14 virions,False,False,False,[],[],[],,,a1dc58c0bc,f6c9102dfd,,,000,0.0,[],[],[],,
P. aeruginosa rhamnolipids stabilize human rhinovirus 14 virions,True,True,False,[],[],[],,,a1dc58c0bc,446996d803,,,110,0.9,[],[],[],,
P. aeruginosa rhamnolipids stabilize human rhinovirus 14 virions,True,False,False,[],[],[],,,a1dc58c0bc,a63d431deb,,,100,0.3,[],[],[],,
P. aeruginosa rhamnolipids stabilize human rhinovirus 14 virions,False,False,False,[],[],[],,,a1dc58c0bc,f6c9102dfd,,,000,0.0,[],[],[],,
P. aeruginosa rhamnolipids stabilize human rhinovirus 14 virions,False,False,False,[],[],[],,,a1dc58c0bc,f6c9102dfd,,,000,0.0,[],[],[],,
P. aeruginosa rhamnolipids stabilize human rhinovirus 14 virions,False,False,False,[],[],[],,,56ea8ec8a5,b62ba674c9,,,000,0.0,[],[],[],,
P. aeruginosa rhamnolipids stabilize human rhinovirus 14 virions,True,True,False,[],[],[],,,56ea8ec8a5,6160838330,,,110,0.9,[],[],[],,
P. aeruginosa rhamnolipids stabilize human rhinovirus 14 virions,True,False,False,[],[],[],,,56ea8ec8a5,b6b858cf13,,,100,0.3,[],[],[],,
