method,raw_count,weighted_count,weighted_frequency,top_buckets,representative_papers
other:DRDP-treated nasopharyngeal swab sample used for rapid antigen testing (RAT) (buffer preserves antigens and is compatible with RAT),1,1.0,0.015,1111 (1),"Assessment of DNA/RNA Defend Pro: An Inactivating Sample Collection Buffer for Enhanced Stability, Extraction-Free PCR, and Rapid Antigen Testing of Nasopharyngeal Swab Samples"
other:use of PCR inhibitor-tolerant/enhanced one-step RT-qPCR mastermix enabling direct amplification from crude sputum/nasal exudate without RNA extraction (DIRECT-PCR; lysis/reverse transcription/amplification in a single-tube homogeneous reaction per Abstract; Pages 1–3),1,0.75,0.0112,1101 (1),Rapid Direct Nucleic Acid Amplification Test without RNA Extraction for SARS-CoV-2 Using a Portable PCR Thermocycler
other:thermal lysis used as template for qPCR (direct-lysis approach),1,0.75,0.0112,1101 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:rehydration/elution of dry nasal swab into low-TE buffer; evaluated for direct RT-qPCR compatibility,1,0.75,0.0112,1110 (1),SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing
other:reducing agent (TCEP) and chelator (EDTA) in saliva lysis buffer to stabilize RNA,1,0.75,0.0112,1101 (1),Development and implementation of a simple and rapid extraction-free saliva SARS-CoV-2 RT-LAMP workflow for workplace surveillance
other:mucolytic/mucoactive treatment (N-acetyl cysteine; sodium citrate/ammonium chloride),1,0.75,0.0112,1101 (1),A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection
other:lowTE/TED buffer-based preparation,1,0.75,0.0112,1101 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.
other:lowTE/TED (TE-based buffer) with optional DMSO; direct RT-qPCR/RT-ddPCR from heat-inactivated Chelex-treated sample,1,0.75,0.0112,1101 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method
other:low-pH inactivating/stabilizing collection buffer (DRDP) requires neutralization prior to rapid antigen testing due to incompatibility with colloidal gold assays (section 4.3),1,0.75,0.0112,1110 (1),"Assessment of DNA/RNA Defend Pro: An Inactivating Sample Collection Buffer for Enhanced Stability, Extraction-Free PCR, and Rapid Antigen Testing of Nasopharyngeal Swab Samples"
other:dry anterior nares swab elution into low-TE buffer; direct RT–qPCR from treated eluate (extraction-free),1,0.75,0.0112,1101 (1),SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing
other:direct-to-PCR (D2PCR) using heat-inactivated swab sample without lysis and RNA extraction,1,0.75,0.0112,1101 (1),Improving the efficiency and effectiveness of an industrial SARS‑CoV‑2 diagnostic facility
other:direct-add proprietary Extraction Buffer pre-processing (pipette-mix); no separate nucleic-acid extraction described for LumiraDx RSC workflow,1,0.75,0.0112,1011 (1),Extraction-Free Detection of SARS-CoV-2 Viral RNA Using LumiraDx’s RNA Star Complete Assay from Clinical Nasal Swabs Stored in a Novel Collection and Transport Medium
other:direct addition of lytic template into one-pot RT-RPA-CRISPR/Cas13a (single-step SHERLOCK/CCESSAT),1,0.75,0.0112,1101 (1),CESSAT: A chemical additive-enhanced single-step accurate CRISPR/Cas13 testing system for field-deployable ultrasensitive detection and genotyping of SARS-CoV-2 variants of concern
other:direct RT-qPCR (single-tube) from crude respiratory matrices using inhibitor-resistant enzymes/reagents; no RNA purification,1,0.75,0.0112,1101 (1),Rapid Direct Nucleic Acid Amplification Test without RNA Extraction for SARS-CoV-2 Using a Portable PCR Thermocycler
other:chemical treatment with N-acetyl cysteine (mucolytic/reducing agent) in RNA release buffer; direct use of treated saliva for RT-qPCR/SHERLOCK,1,0.75,0.0112,1101 (1),A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection
other:chemical inactivation/lysis using TCEP–EDTA (reduction + chelation) described for saliva sample processing prior to rLAMP and Cas13 detection,1,0.75,0.0112,1101 (1),Rapid detection of SARS-CoV-2 RNA in saliva via Cas13
other:chemical inactivation using DNA/RNA Shield transport medium,1,0.75,0.0112,1101 (1),Direct Viral RNA Detection of SARS-CoV-2 and DENV in Inactivated Samples by Real-Time RT-qPCR: Implications for Diagnosis in Resource Limited Settings with Flavivirus Co-Circulation
other:chemical inactivation using DNA/RNA Shield (Zymo Research) prior to RT-qPCR,1,0.75,0.0112,1110 (1),Direct Viral RNA Detection of SARS-CoV-2 and DENV in Inactivated Samples by Real-Time RT-qPCR: Implications for Diagnosis in Resource Limited Settings with Flavivirus Co-Circulation
"other:chelators/buffering (EDTA, Tris)",1,0.75,0.0112,1101 (1),Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection
"other:carrier molecules (poly(A), glycogen, linear polyacrylamide)",1,0.75,0.0112,1101 (1),Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection
other:TCEP/EDTA RNase inhibition buffer,1,0.75,0.0112,1101 (1),Development and implementation of a simple and rapid extraction-free saliva SARS-CoV-2 RT-LAMP workflow for workplace surveillance
other:RNase inhibitor added in lysis buffer,1,0.75,0.0112,1101 (1),CESSAT: A chemical additive-enhanced single-step accurate CRISPR/Cas13 testing system for field-deployable ultrasensitive detection and genotyping of SARS-CoV-2 variants of concern
other:reverse elution DNA extraction (purification matrix binds impurities while DNA passes through),2,0.5,0.0075,0001 (2),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:thermal lysis used as template for qPCR (thermoblock); reported viscosity prevented qPCR use for stool matrix,1,0.5,0.0075,1100 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
"other:thermal lysis P (TL-P) used directly as qPCR template; in spiked stool matrix, detection reported only for some targets with low copy numbers",1,0.5,0.0075,1001 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:sample drying/desiccation (SpeedVac) and resuspension in buffer,1,0.5,0.0075,1001 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin
other:saliva pre-treatment included heat inactivation followed by a brief centrifugation; supernatant diluted with TE prior to RT-LAMP (stated TE is LAMP-compatible),1,0.5,0.0075,1001 (1),"A molecular test based on RT-LAMP for rapid, sensitive and inexpensive colorimetric detection of SARS-CoV-2 in clinical samples"
other:pelleting_by_centrifugation_and_resuspension,1,0.5,0.0075,1001 (1),SARS-CoV-2 detection by extraction-free qRT-PCR for massive and rapid COVID-19 diagnosis during a pandemic in Armenia
other:microfluidic cartridge workflow coupling RT-LAMP and Cas13 detection (DISCoVER multiplex system),1,0.5,0.0075,1100 (1),Simplified Cas13-based assays for the fast identification of SARS-CoV-2 and its variants
other:microfluidic cartridge handling of saliva with on-cartridge amplification and Cas13 detection (gravity-driven; heaters; valves; hydrophobic separator),1,0.5,0.0075,1100 (1),Simplified Cas13-based assays for the fast identification of SARS-CoV-2 and its variants
"other:lysis-only extraction (QuickExtract Solution; QE; described as combination of chemical and thermal lysis) used directly as qPCR template; for spiked stool matrix, blaVIM-1 detection failed while other targets detected",1,0.5,0.0075,1001 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:lysis buffer (Roche complete lysis-M),1,0.5,0.0075,1010 (1),Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards
other:gravity-driven loading of raw milk into a CD-based microfluidic sedimentation cytometer (SeCy) followed by rotational sedimentation (disc spinning) and optical imaging/analysis of cream band and cell pellet,1,0.5,0.0075,1010 (1),A Point-of-care Microfluidic Sedimentation Cytometer for Milk Quality and Bovine Mastitis Monitoring
other:gravity-/centrifugal sedimentation in microfluidic disc (sample loaded into inlet; disc spun to separate cream band and cell pellet for imaging-based cell counting),1,0.5,0.0075,1010 (1),"A Point-of-care Microfluidic Sedimentation Cytometer for Milk Quality and Bovine Mastitis Monitoring (Chapter 3, thesis excerpt shown)"
other:dried blood matrix formation via blood drying (biphasic direct detection concept),1,0.5,0.0075,1100 (1),Dried Blood Matrix as a New Material for the Detection of DNA Viruses.
other:direct lysis buffer (composition not specified on provided pages),1,0.5,0.0075,1100 (1),Simplified Cas13-based assays for the fast identification of SARS-CoV-2 and its variants
other:direct heating in buffer without RNA extraction (tested across multiple buffers; some incompatible/inhibitory),1,0.5,0.0075,1100 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin
other:commercial direct saliva lysis/inactivation reagents (IA inactivation reagent; QuickExtract; RNA/DNA Shield; TCEP-EDTA),1,0.5,0.0075,1100 (1),Simplified Cas13-based assays for the fast identification of SARS-CoV-2 and its variants
other:chemical + thermal lysis (Quick Extract Solution); not compatible for all targets in spiked stool (blaVIM-1 failure reported),1,0.5,0.0075,1100 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:centrifugal/microfluidic sedimentation (spinning to form cell pellet in channel),1,0.5,0.0075,1010 (1),A Point-of-care Microfluidic Sedimentation Cytometer for Milk Quality and Bovine Mastitis Monitoring
other:centrifugal sedimentation in a rotating CD-like microfluidic disc to separate somatic cells (pellet) and fat (cream band) for measurement; no reagents/sample preparation reported,1,0.5,0.0075,1010 (1),A Point-of-care Microfluidic Sedimentation Cytometer (POC-SeCy) for Milk Quality and Bovine Mastitis Monitoring
other:brief vortexing/mixing,1,0.5,0.0075,1001 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin
other:TE buffer with DMSO (TED10) elution,1,0.5,0.0075,1010 (1),Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards
other:EDTA/Tris-buffer lysis solution with RNA carrier (poly(A); also discussed glycogen/LPA carriers),1,0.5,0.0075,0011 (1),Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection.
"other:thermal lysis T (TL-T) used as template in qPCR for cultured samples; for spiked stool matrix, qPCR could not be performed due to sample viscosity after heat treatment",1,0.25,0.0037,1000 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:spin-column viral RNA extraction (QIAamp RNA Viral Mini Kit; lysis buffer + column-based purification) prior to RT-qPCR comparator testing,1,0.25,0.0037,0010 (1),Extraction-Free Detection of SARS-CoV-2 Viral RNA Using LumiraDx’s RNA Star Complete Assay from Clinical Nasal Swabs Stored in a Novel Collection and Transport Medium
other:silica spin column kit-based DNA extraction (QIAamp Fast DNA Stool Mini kit; QS; includes wash steps and centrifugation per kit design),1,0.25,0.0037,0001 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:silica spin column kit-based DNA extraction (NucleoSpin DNA Stool kit; NS; includes wash steps and centrifugation per kit design),1,0.25,0.0037,0001 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:silica spin column DNA extraction with inhibitor-removal/clean-up column,1,0.25,0.0037,0001 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:reverse_elution_plate_based,1,0.25,0.0037,0100 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:reverse-elution silica column kit-based extraction (EchoLUTION Viral RNA/DNA Swab Kit Plus; BV; includes wash steps and centrifugation per kit design),1,0.25,0.0037,0001 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:reverse-elution silica column kit-based extraction (EchoLUTION Buccal Swab DNA Kit; BE; includes wash steps and centrifugation per kit design),1,0.25,0.0037,0001 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:purified RNA extracted from nasopharyngeal (NP) fluid used as input for RT-LAMP benchmarking vs RT-PCR (RNA extraction method not described in provided pages),1,0.25,0.0037,0100 (1),"A molecular test based on RT-LAMP for rapid, sensitive and inexpensive colorimetric detection of SARS-CoV-2 in clinical samples"
other:paramagnetic bead-immobilized RNase A digestion/inhibition assay with anti-RNase DNA aptamers; magnetic partitioning (no centrifugation reported),1,0.25,0.0037,0100 (1),Development of Aptamers for RNase Inactivation in Xtract-Free™ Sample Collection and Transport Medium
other:magnetic bead immobilization/partitioning (paramagnetic carboxylated beads) and EDC/NHS covalent conjugation chemistry,1,0.25,0.0037,0100 (1),Development of Aptamers for RNase Inactivation in Xtract-Free™ Sample Collection and Transport Medium
other:lambda exonuclease digestion to generate ssDNA from dsDNA PCR products (with subsequent kit-based cleanup),1,0.25,0.0037,0100 (1),Development of Aptamers for RNase Inactivation in Xtract-Free™ Sample Collection and Transport Medium
other:column-based RNA extraction/purification (QIAGEN Viral RNA Mini Kit; QIAGEN RNeasy Mini Kit; Zymo plasmid miniprep columns; ethanol/salt washes),1,0.25,0.0037,0001 (1),"A molecular test based on RT-LAMP for rapid, sensitive and inexpensive colorimetric detection of SARS-CoV-2 in clinical samples."
other:chemical_lysis_kit,1,0.25,0.0037,0100 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
"other:chemical lysis buffer (Tris-Cl, EDTA, NaCl) with additives PVP and β-mercaptoethanol; optional sodium acetate; ethanol wash of tissue",1,0.25,0.0037,0001 (1),A method of direct PCR without DNA extraction for rapid detection of begomoviruses infecting jute and mesta
"other:chemical lysis buffer (Tris-Cl, EDTA, NaCl) with additives PVP and β-mercaptoethanol; ethanol wash of tissue",1,0.25,0.0037,0001 (1),A method of direct PCR without DNA extraction for rapid detection of begomoviruses infecting jute and mesta
other:carrier preparation (linear polyacrylamide synthesis/precipitation; includes centrifugation and ethanol washing),1,0.25,0.0037,0010 (1),Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection
other:RNA extraction using MagNA Pure 96 DNA and Viral NA SV kit (referenced clinical routine workflow comparator),1,0.25,0.0037,1000 (1),Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR
other:TE buffer,4,0.0,0.0,0000 (4),Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards
other:silica_spin_column_purification,2,0.0,0.0,0000 (2),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:traditional RNA purification/extraction prior to RT-qPCR (commercial clinical workflow; details not provided on these pages),1,0.0,0.0,0000 (1),Comparative effects of viral-transport-medium heat inactivation upon downstream SARS-CoV-2 detection in patient samples.
other:standard RNA extraction (commercial kit; details not specified on provided pages),1,0.0,0.0,0000 (1),Utility of Extraction-Free SARS-CoV-2 Detection by RT-qPCR for COVID-19 Testing in a Resource-Limited Setting
other:silica spin column DNA extraction (stool kit),1,0.0,0.0,0000 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
other:silica column extraction (QIAGEN DNeasy Blood & Tissue; QIAamp Viral RNA) with wash steps,1,0.0,0.0,0000 (1),Evaluation of direct-to-PCR (D2P) method for molecular diagnosis of infectious diseases
"other:saliva/virus sample treatment tested with Chelex in different diluents (e.g., water/TE/TED99) and additives (e.g., DMSO, urea, detergents such as Triton X-100/IGEPAL/Tween implied by labels), evaluated by RT-qPCR targets N1/N2/RPP30",1,0.0,0.0,0000 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method
other:reverse_elution_flowthrough_column,1,0.0,0.0,0000 (1),Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction
"other:protocol details not described on provided pages; only a table label referencing ""RNA-extraction"" is shown (Table 1, p.21)",1,0.0,0.0,0000 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method
other:no sample-preparation protocol described on provided pages (content is thesis chapter text and references; no experimental workflow details),1,0.0,0.0,0000 (1),"A sample-to-answer, quantitative real-time PCR system with low-cost, gravity-driven microfluidic cartridge for rapid detection of SARS-CoV-2, influenza A/B, and human papillomavirus 16/18."
other:no sample-prep protocol described on provided pages (references/disclaimer pages only),1,0.0,0.0,0000 (1),Utility of Extraction-Free SARS-CoV-2 Detection by RT-qPCR for COVID-19 Testing in a Resource-Limited Setting
"other:no sample-prep protocol described on provided pages (references section only; Pathogens 2021, 10, 1558, pp. 13–14 of 14)",1,0.0,0.0,0000 (1),Direct Viral RNA Detection of SARS-CoV-2 and DENV in Inactivated Samples by Real-Time RT-qPCR: Implications for Diagnosis in Resource Limited Settings with Flavivirus Co-Circulation
other:no sample-prep protocol described on provided pages (only references/competing interests/additional information sections shown),1,0.0,0.0,0000 (1),Pooled RNA-extraction-free testing of saliva for the detection of SARS-CoV-2
other:no protocol described on provided page (references/ending page only),1,0.0,0.0,0000 (1),Dried Blood Matrix as a New Material for the Detection of DNA Viruses
"other:no explicit sample-prep protocol described on provided pages (general lab-on-a-chip overview; mentions that microfluidic devices can perform steps such as filtration, pre-concentration, washing, mixing, purification, isolation, separation; no concrete conditions)",1,0.0,0.0,0000 (1),"A sample-to-answer, quantitative real-time PCR system with low-cost, gravity-driven microfluidic cartridge for rapid detection of SARS-CoV-2, influenza A/B, and human papillomavirus 16/18."
other:no experimental protocol described on provided pages (front matter: title/certification/contents/introduction heading only),1,0.0,0.0,0000 (1),Development of Innovative Microfluidic Polymeric Technologies for Point-of-care & Integrated Diagnostics Devices
other:magnetic bead-based extraction (NucleoMagVet/KingFisher) with wash steps,1,0.0,0.0,0000 (1),Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards
other:magnetic bead-based extraction (KingFisher + MagMAX Viral/Pathogen kit) with wash steps,1,0.0,0.0,0000 (1),Evaluation of direct-to-PCR (D2P) method for molecular diagnosis of infectious diseases
other:in vitro SELEX aptamer selection using RNase A immobilized on paramagnetic beads with magnetic partitioning and wash/elution steps in Xtract-Free™ medium,1,0.0,0.0,0000 (1),Development of Aptamers for RNase Inactivation in Xtract-Free™ Sample Collection and Transport Medium
other:direct-to-PCR workflow without RNA extraction (uses optimized buffer to overcome sample-mediated PCR inhibition; detailed protocol not shown on provided pages),1,0.0,0.0,0000 (1),Improving the efficiency and effectiveness of an industrial SARS-CoV-2 diagnostic facility
other:direct-to-PCR (D2P) extraction-free approach discussed at a high level; no specific sample-prep protocol steps provided in the supplied pages,1,0.0,0.0,0000 (1),Evaluation of direct-to-PCR (D2P) method for molecular diagnosis of infectious diseases
other:conventional RNA extraction using commercial kit/lysis buffer (referenced comparator workflow),1,0.0,0.0,0000 (1),Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR
other:conventional RNA extraction (easyMAG-CL / CDC RNA extraction referenced as comparator),1,0.0,0.0,0000 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method
other:conventional RNA extraction (NucliSENS easyMAG platform / Qiagen RNeasy kits),1,0.0,0.0,0000 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin
"other:conventional RNA extraction (CDC protocol; easyMAG-CL), details not provided on shown pages",1,0.0,0.0,0000 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin
other:commercial viral RNA extraction kit (Qiagen) for RT-qPCR comparison/validation,1,0.0,0.0,0000 (1),A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection
other:commercial extraction and purification kit (QIAamp DNA Blood kits; Mini/Midi),1,0.0,0.0,0000 (1),Dried Blood Matrix as a New Material for the Detection of DNA Viruses.
other:commercial RNA extraction platform/kit (NucliSENS easyMAG; RNeasy/RNeasy Protect Saliva kits mentioned),1,0.0,0.0,0000 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.
other:commercial RNA extraction (RNeasy Protect Saliva Mini Kit),1,0.0,0.0,0000 (1),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.
other:clinical-sample nucleic acid extraction prior to testing (standard qPCR workflow referenced; extraction method not specified on provided pages),1,0.0,0.0,0000 (1),CESSAT: A chemical additive-enhanced single-step accurate CRISPR/Cas13 testing system for field-deployable ultrasensitive detection and genotyping of SARS-CoV-2 variants of concern.
other:clinical respiratory swab RNA extraction using commercial kit (MagMAX Viral/Pathogen Nucleic Acid Isolation Kit),1,0.0,0.0,0000 (1),Simplified Cas13-based assays for the fast identification of SARS-CoV-2 and its variants
other:clarification of viral cell culture supernatants by centrifugation prior to aliquoting/storage,1,0.0,0.0,0000 (1),Direct Viral RNA Detection of SARS-CoV-2 and DENV in Inactivated Samples by Real-Time RT-qPCR: Implications for Diagnosis in Resource Limited Settings with Flavivirus Co-Circulation
other:automated magnetic-bead nucleic-acid extraction (Roche MagNA Pure 96; Thermo KingFisher Flex MagMAX Viral/Pathogen kit) used as extraction-based comparator,1,0.0,0.0,0000 (1),SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing
other:automated RNA extraction (Chemagic 360-D) per manufacturer instructions,1,0.0,0.0,0000 (1),Extraction-free protocol combining proteinase K and heat inactivation for detection of SARS-CoV-2 by RT-qPCR
other:Tissue Lysis Reagent (TLR),1,0.0,0.0,0000 (1),Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards
other:TED10 buffer,1,0.0,0.0,0000 (1),Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards
other:RT-LAMP assay development/optimization and sequencing-based characterization of RT-LAMP amplicons; no explicit sample-prep protocol described on provided pages (Figures 4–5 and References/Acknowledgments pages),1,0.0,0.0,0000 (1),Molecular Characterization of Increased Amplicon Lengths in SARS-CoV-2 Reverse Transcription Loop-Mediated Isothermal Amplification Assays
other:RNA purification using a commercial total RNA miniprep kit (Monarch Total RNA Miniprep Kit) for comparison studies,1,0.0,0.0,0000 (1),Development and implementation of a simple and rapid extraction-free saliva SARS-CoV-2 RT-LAMP workflow for workplace surveillance
other:RNA isolation using commercial kit (manufacturer protocol; details not provided on shown pages),1,0.0,0.0,0000 (1),Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection
other:RNA extraction-based (kit-based) workflow on saliva collected in RNAlater; used for RT-qPCR comparison (details not provided on these pages),1,0.0,0.0,0000 (1),A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection
other:RNA extraction and purification using Quick-Viral RNA Kit (Zymo Research) after chemical or heat inactivation,1,0.0,0.0,0000 (1),Direct Viral RNA Detection of SARS-CoV-2 and DENV in Inactivated Samples by Real-Time RT-qPCR: Implications for Diagnosis in Resource Limited Settings with Flavivirus Co-Circulation
other:RNA extraction (RNAdvance Viral Kit) prior to RT-qPCR,1,0.0,0.0,0000 (1),Improving the efficiency and effectiveness of an industrial SARS‑CoV‑2 diagnostic facility
other:RNA extracted from saliva using plasmid DNA miniprep columns (Zymo Research ZR Plasmid Miniprep-Classic Kit) and re-analyzed by RT-LAMP,1,0.0,0.0,0000 (1),"A molecular test based on RT-LAMP for rapid, sensitive and inexpensive colorimetric detection of SARS-CoV-2 in clinical samples"
"other:No specific sample-prep protocol described on provided pages; only general discussion of diagnostic cycle and possible preparation tasks (e.g., centrifugation, filtration, dilution, extraction) without an implemented procedure.",1,0.0,0.0,0000 (1),Development of Innovative Microfluidic Polymeric Technologies for Point-of-care & Integrated Diagnostics Devices (PhD thesis)
